universidad,siglas,nombre,carrera_epn_homologa,url,descripcion,perfil_ingreso,perfil_egreso,perfil_profesional
UNIVERSIDAD ESTATAL DE MILAGRO,UNEMI,INGENIERÍA AMBIENTAL,Ingeniería Ambiental,,,,,
UNIVERSIDAD ESTATAL DE MILAGRO,UNEMI,INGENIERÍA INDUSTRIAL,Ingeniería de la Producción,,,,,
UNIVERSIDAD ESTATAL DE MILAGRO,UNEMI,SOFTWARE,Ingeniería en Software,,,,,
UNIVERSIDAD ESTATAL DEL SUR DE MANABÍ,UNESUM,ADMINISTRACIÓN DE EMPRESAS,Administración de Empresas,,,,,
UNIVERSIDAD ESTATAL DEL SUR DE MANABÍ,UNESUM,INGENIERÍA AMBIENTAL,Ingeniería Ambiental,,,,,
UNIVERSIDAD ESTATAL DEL SUR DE MANABÍ,UNESUM,INGENIERÍA CIVIL,Ingeniería Civil,,,,,
UNIVERSIDAD ESTATAL DEL SUR DE MANABÍ,UNESUM,INGENIERÍA EN COMPUTACIÓN Y REDES,Ciencias de la Computación,,,,,
"UNIVERSIDAD REGIONAL AUTÓNOMA DE LOS ANDES ""UNIANDES""",UNIANDES,ADMINISTRACIÓN DE EMPRESAS,Administración de Empresas,,,,,
"UNIVERSIDAD REGIONAL AUTÓNOMA DE LOS ANDES ""UNIANDES""",UNIANDES,SOFTWARE,Ingeniería en Software,,,,,
UNIVERSIDAD IBEROAMERICANA DEL ECUADOR,UNIBE,ADMINISTRACIÓN DE EMPRESAS,Administración de Empresas,,,,,
UNIVERSIDAD IBEROAMERICANA DEL ECUADOR,UNIBE,ECONOMÍA,Economía,,,,,
UNIVERSIDAD IBEROAMERICANA DEL ECUADOR,UNIBE,SOFTWARE,Ingeniería en Software,,,,,
UNIVERSIDAD DE OTAVALO,UO,ADMINISTRACIÓN DE EMPRESAS,Administración de Empresas,,,,,
UNIVERSIDAD DEL PACÍFICO-ESCUELA DE NEGOCIOS,UPACIFICO,ADMINISTRACIÓN DE EMPRESAS,Administración de Empresas,,,,,
UNIVERSIDAD DEL PACÍFICO-ESCUELA DE NEGOCIOS,UPACIFICO,COMPUTACIÓN,Ciencias de la Computación,,,,,
UNIVERSIDAD DEL PACÍFICO-ESCUELA DE NEGOCIOS,UPACIFICO,SISTEMAS DE INFORMACIÓN,Ingeniería en Sistemas de Información,,,,,
UNIVERSIDAD POLITÉCNICA ESTATAL DEL CARCHI,UPEC,ADMINISTRACIÓN DE EMPRESAS,Administración de Empresas,,,,,
UNIVERSIDAD POLITÉCNICA ESTATAL DEL CARCHI,UPEC,COMPUTACIÓN,Ciencias de la Computación,,,,,
UNIVERSIDAD SAN GREGORIO DE PORTOVIEJO,USGP,ADMINISTRACIÓN DE EMPRESAS,Administración de Empresas,,,,,
UNIVERSIDAD TÉCNICA DE BABAHOYO,UTB,AGROINDUSTRIA,Agroindustria,,,,,
UNIVERSIDAD TÉCNICA DE BABAHOYO,UTB,SISTEMAS DE INFORMACIÓN,Ingeniería en Sistemas de Información,,,,,
UNIVERSIDAD UTE,UTE,ADMINISTRACIÓN DE EMPRESAS,Administración de Empresas,,,,,
UNIVERSIDAD UTE,UTE,INGENIERÍA CIVIL,Ingeniería Civil,,,,,
UNIVERSIDAD UTE,UTE,INGENIERÍA INDUSTRIAL,Ingeniería de la Producción,,,,,
UNIVERSIDAD UTE,UTE,MECATRÓNICA,Mecatrónica,,,,,
"UNIVERSIDAD TÉCNICA ""LUIS VARGAS TORRES"" DE ESMERALDAS (UTLVTE)",UTELVT,ADMINISTRACIÓN DE EMPRESAS,Administración de Empresas,,,,,
"UNIVERSIDAD TÉCNICA ""LUIS VARGAS TORRES"" DE ESMERALDAS (UTLVTE)",UTELVT,ELECTRICIDAD,Ingeniería Eléctrica,,,,,
"UNIVERSIDAD TÉCNICA ""LUIS VARGAS TORRES"" DE ESMERALDAS (UTLVTE)",UTELVT,INGENIERÍA QUÍMICA,Ingeniería Química,,,,,
"UNIVERSIDAD TÉCNICA ""LUIS VARGAS TORRES"" DE ESMERALDAS (UTLVTE)",UTELVT,MECÁNICA,Ingeniería en Mecánica,,,,,
UNIVERSIDAD TECNOLÓGICA INDOAMÉRICA,UTI,ADMINISTRACIÓN DE EMPRESAS,Administración de Empresas,,,,,
UNIVERSIDAD TECNOLÓGICA INDOAMÉRICA,UTI,COMPUTACIÓN,Ciencias de la Computación,,,,,
UNIVERSIDAD TECNOLÓGICA INDOAMÉRICA,UTI,INGENIERÍA CIVIL,Ingeniería Civil,,,,,
UNIVERSIDAD TECNOLÓGICA INDOAMÉRICA,UTI,INGENIERÍA INDUSTRIAL,Ingeniería de la Producción,,,,,
UNIVERSIDAD TÉCNICA DE MACHALA,UTMACH,ADMINISTRACIÓN DE EMPRESAS,Administración de Empresas,,,,,
UNIVERSIDAD TÉCNICA DE MACHALA,UTMACH,ECONOMÍA,Economía,,,,,
UNIVERSIDAD TÉCNICA DE MACHALA,UTMACH,INGENIERÍA AMBIENTAL,Ingeniería Ambiental,,,,,
UNIVERSIDAD TÉCNICA DE MACHALA,UTMACH,INGENIERÍA CIVIL,Ingeniería Civil,,,,,
